,,,,Delay,,,,Loss,,,,Jitter,,,
File,Subnet,Num UE,Num RBs,Delay (mean),Delay (std),Delay (min),Delay (max),Loss (mean),Loss (std),Loss (min),Loss (max),Jitter (mean),Jitter (std),Jitter (min),Jitter (max)
D30sec_Rbs2_UE35.csv,VOIP,35,2,0.075664251,0.01602664,0.048656773,0.118517803,0.15275799,0.010603477,0.128881445,0.16930289,0.083153278,0.03024437,0.038237586,0.172952221
D30sec_Rbs3_UE35.csv,VOIP,35,3,0.010604351,0.003388993,0.00602412,0.021532728,0.071945168,0.007333677,0.055339083,0.08473004,0.009118162,0.004504359,0.004039347,0.026482221
D30sec_Rbs4_UE35.csv,VOIP,35,4,0.004704009,0.001659041,0.002532848,0.0110256,0.037963827,0.006111532,0.02603144,0.051664428,0.005520386,0.001945712,0.003431679,0.011883981
D30sec_Rbs5_UE35.csv,VOIP,35,5,0.00363454,0.001465321,0.001531347,0.008147764,0.021552283,0.004269461,0.011724955,0.029180081,0.006584061,0.002720328,0.003659325,0.017170459
D30sec_Rbs6_UE35.csv,VOIP,35,6,0.00344522,0.001421294,0.001174592,0.007461316,0.016186632,0.00415285,0.008344979,0.026235608,0.008322027,0.004985164,0.004635985,0.03335236
D30sec_Rbs7_UE35.csv,VOIP,35,7,0.003134086,0.001407509,0.00142098,0.006971429,0.013489022,0.003629231,0.00699291,0.021070502,0.008827956,0.003020165,0.005412513,0.017323632
D30sec_Rbs8_UE35.csv,VOIP,35,8,0.002925973,0.001221615,0.001226754,0.005994178,0.013754858,0.003905421,0.007928676,0.025526944,0.008022867,0.002170319,0.005577273,0.015645132
D30sec_Rbs1_UE40.csv,VOIP,40,1,0.983352526,0.43425425,0.41235052,2.350308615,0.31283726,0.033049868,0.239818671,0.393089638,1.541676994,0.558457207,0.683682174,3.298335615
D30sec_Rbs2_UE40.csv,VOIP,40,2,0.142581933,0.030743413,0.085917527,0.211502066,0.178413145,0.012955074,0.150720407,0.207716495,0.193284818,0.073220742,0.078364481,0.429637049
D30sec_Rbs3_UE40.csv,VOIP,40,3,0.018889807,0.004912741,0.011533173,0.036308548,0.093477316,0.007918989,0.077241597,0.11461438,0.017574956,0.008796277,0.008019318,0.049691169
D30sec_Rbs4_UE40.csv,VOIP,40,4,0.005262882,0.002128348,0.002424754,0.012633211,0.047648755,0.00523156,0.037083458,0.059803126,0.004783304,0.001654525,0.002787314,0.009369055
D30sec_Rbs5_UE40.csv,VOIP,40,5,0.004081277,0.001353776,0.001843373,0.007408583,0.028180918,0.004993114,0.018683235,0.040891163,0.006477071,0.003250409,0.003579778,0.019423043
D30sec_Rbs6_UE40.csv,VOIP,40,6,0.003395655,0.001278239,0.00151186,0.007834287,0.017316934,0.003581909,0.010754868,0.024178313,0.006984985,0.001842677,0.004435239,0.013630033
D30sec_Rbs7_UE40.csv,VOIP,40,7,0.003212642,0.001395959,0.001444514,0.007177226,0.014754715,0.0035916,0.008848164,0.022989541,0.007981494,0.002019135,0.004859479,0.012622183
D30sec_Rbs8_UE40.csv,VOIP,40,8,0.003140321,0.001247734,0.001376288,0.00595159,0.013481627,0.003534551,0.005483949,0.022860252,0.008722064,0.002615269,0.005499959,0.018083616
D30sec_Rbs1_UE45.csv,VOIP,45,1,1.111961078,0.313399458,0.590899211,1.775771693,0.327359739,0.033188581,0.26106625,0.425893443,1.874927821,0.748670664,0.997691244,4.319416676
D30sec_Rbs2_UE45.csv,VOIP,45,2,0.186293288,0.043716236,0.128799633,0.368484066,0.199514835,0.020480835,0.166510958,0.260043763,0.25587091,0.105111543,0.116453367,0.615347954
D30sec_Rbs3_UE45.csv,VOIP,45,3,0.037161919,0.009595116,0.021768543,0.060280997,0.114078601,0.010549444,0.09087781,0.140198512,0.041193718,0.019931219,0.015326059,0.096112576
D30sec_Rbs4_UE45.csv,VOIP,45,4,0.006789729,0.002050173,0.003673748,0.011515429,0.060888817,0.006224453,0.048645273,0.07687557,0.005764705,0.002069745,0.002569731,0.011638954
D30sec_Rbs5_UE45.csv,VOIP,45,5,0.004835853,0.001938305,0.002470034,0.011507606,0.036009038,0.00528888,0.023983865,0.051388777,0.006210204,0.003294391,0.003376434,0.022858023
D30sec_Rbs6_UE45.csv,VOIP,45,6,0.004099974,0.001654279,0.001610595,0.008880884,0.022735038,0.004718894,0.0128934,0.037015518,0.007220327,0.002399559,0.003635978,0.014293832
D30sec_Rbs7_UE45.csv,VOIP,45,7,0.003332772,0.001250462,0.001582364,0.007413155,0.015845694,0.004216902,0.007918138,0.029790034,0.007434593,0.001725388,0.004496375,0.011414545
D30sec_Rbs8_UE45.csv,VOIP,45,8,0.003343069,0.001925531,0.001393232,0.01276607,0.013704946,0.0038742,0.005350993,0.027862213,0.008035755,0.002296212,0.005286556,0.016655306
D30sec_Rbs1_UE50.csv,VOIP,50,1,1.308842548,0.394388845,0.680860793,2.781339939,0.337988772,0.034273779,0.277408569,0.440002796,2.096225138,0.758232456,0.921714815,4.593538805
D30sec_Rbs2_UE50.csv,VOIP,50,2,0.276342336,0.093728774,0.161548247,0.609365037,0.220044495,0.021689711,0.1842339,0.276170952,0.410523181,0.191492329,0.166970044,1.10474909
D30sec_Rbs3_UE50.csv,VOIP,50,3,0.064650309,0.015528855,0.037554407,0.09878323,0.1345675,0.008754127,0.117639544,0.156239604,0.07632103,0.03100603,0.025502487,0.164945868
D30sec_Rbs4_UE50.csv,VOIP,50,4,0.011277564,0.003406216,0.005837759,0.0211835,0.075973258,0.007289438,0.059728585,0.093370387,0.008685079,0.003782871,0.003676673,0.023475514
D30sec_Rbs5_UE50.csv,VOIP,50,5,0.005217257,0.001941514,0.002587196,0.010597931,0.04267379,0.005125341,0.028467927,0.054335567,0.00565497,0.002000722,0.003041573,0.012829818
D30sec_Rbs6_UE50.csv,VOIP,50,6,0.004154412,0.001369671,0.001745377,0.008980363,0.025730283,0.00450858,0.018276233,0.040545334,0.006374821,0.001861224,0.00365843,0.0108796
